System,Optimization method,Metric,Value
BlinkingRotlet,Sparse KFs with gamma=0.1,SMAPE,0.0050024063409825
BlinkingRotlet,Sparse KFs with gamma=1.0,MSE,0.0002698287267112
BlinkingRotlet,Sparse KFs with gamma=1.0,Hausdorff Distance,1.2842768069564547
BlinkingRotlet,Sparse KFs with gamma=1.0,SMAPE,0.0162678076518581
BlinkingRotlet,Sparse KFs with gamma=10.0,MSE,0.0006235503397412
BlinkingRotlet,Sparse KFs with gamma=10.0,Hausdorff Distance,1.6685289033067945
BlinkingRotlet,Sparse KFs with gamma=10.0,SMAPE,0.0185540495356345
BlinkingRotlet,Trained Gaussian kernel,MSE,0.0001367385277018
BlinkingRotlet,Trained Gaussian kernel,Hausdorff Distance,0.6625941214451855
BlinkingRotlet,Trained Gaussian kernel,SMAPE,0.0095879153828559
BlinkingRotlet,Random Initialization,MSE,115.8199642578032
BlinkingRotlet,Random Initialization,Hausdorff Distance,107.01175928961771
BlinkingRotlet,Random Initialization,SMAPE,0.4339461671228984
BlinkingRotlet,Gaussian kernel with sigma=0.5,MSE,0.0003960345201049
BlinkingRotlet,Gaussian kernel with sigma=0.5,Hausdorff Distance,0.915985726418582
BlinkingRotlet,Gaussian kernel with sigma=0.5,SMAPE,0.0073036667562599
BlinkingVortex,Regular KFs,MSE,0.0001790420540192
BlinkingVortex,Regular KFs,Hausdorff Distance,0.9210615239491772
BlinkingVortex,Regular KFs,SMAPE,0.0093083849868577
BlinkingVortex,Sparse KFs with gamma=0.0001,MSE,0.0001305829978908
BlinkingVortex,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.7509336603651517
BlinkingVortex,Sparse KFs with gamma=0.0001,SMAPE,0.0112300580040027
BlinkingVortex,Sparse KFs with gamma=0.001,MSE,0.0001240136322409
BlinkingVortex,Sparse KFs with gamma=0.001,Hausdorff Distance,0.7477568042645739
BlinkingVortex,Sparse KFs with gamma=0.001,SMAPE,0.0158623090182286
BlinkingVortex,Sparse KFs with gamma=0.01,MSE,0.0002208586783981
BlinkingVortex,Sparse KFs with gamma=0.01,Hausdorff Distance,0.9345963616554328
BlinkingVortex,Sparse KFs with gamma=0.01,SMAPE,0.0164942557383142
BlinkingVortex,Sparse KFs with gamma=0.1,MSE,0.0001226834880571
BlinkingVortex,Sparse KFs with gamma=0.1,Hausdorff Distance,0.7627168415288095
BlinkingVortex,Sparse KFs with gamma=0.1,SMAPE,0.0089041352587873
BlinkingVortex,Sparse KFs with gamma=1.0,MSE,0.0004196239644705
BlinkingVortex,Sparse KFs with gamma=1.0,Hausdorff Distance,1.2376331389884845
BlinkingVortex,Sparse KFs with gamma=1.0,SMAPE,0.0251537744540398
BlinkingVortex,Sparse KFs with gamma=10.0,MSE,0.0005096682938533
BlinkingVortex,Sparse KFs with gamma=10.0,Hausdorff Distance,1.397007260464869
BlinkingVortex,Sparse KFs with gamma=10.0,SMAPE,0.0263938660066718
BlinkingVortex,Trained Gaussian kernel,MSE,0.0001299428276042
BlinkingVortex,Trained Gaussian kernel,Hausdorff Distance,0.6177527026067672
BlinkingVortex,Trained Gaussian kernel,SMAPE,0.0173227350802195
BlinkingVortex,Random Initialization,MSE,172.23128796932718
